S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
1,Not difficult at all,1-25%,5,Skyrim,"Console (PS, Xbox, ...)",15,I play for fun,having fun,Male,25,Unemployed / between jobs,Bachelor (or equivalent),USA,USA
2,Somewhat difficult,26-50%,1,Other,PC,8,I play for fun,having fun,Male,41,Unemployed / between jobs,Bachelor (or equivalent),USA,USA
3,Not difficult at all,1-25%,2,Other,PC,0,I play for fun,having fun,Female,32,Employed,Bachelor (or equivalent),Germany,Germany
4,Not difficult at all,1-25%,2,Other,PC,20,I play for fun,improving,Male,28,Employed,Bachelor (or equivalent),USA,USA
5,Very difficult,51-75%,1,Other,"Console (PS, Xbox, ...)",20,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),USA,South Korea
6,Not difficult at all,1-25%,3,Other,"Console (PS, Xbox, ...)",4,I play for fun,relaxing,Male,24,Employed,Bachelor (or equivalent),USA,USA
7,Not difficult at all,1-25%,2,Other,PC,30,I play for fun,relaxing,Male,29,Employed,High school diploma (or equivalent),USA,USA
8,NA,0,7,Other,"Console (PS, Xbox, ...)",25,I play for fun,having fun,Female,23,Employed,Bachelor (or equivalent),USA,Japan
9,Very difficult,51-75%,1,Other,"Console (PS, Xbox, ...)",2,I play for fun,winning,Female,23,Employed,Bachelor (or equivalent),USA,USA
10,Somewhat difficult,26-50%,2,World of Warcraft,PC,25,I play for fun,improving,Female,27,Employed,High school diploma (or equivalent),Finland,Finland
11,Somewhat difficult,26-50%,5,Other,PC,14,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),USA,USA
12,NA,0,7,League of Legends,PC,25,I play for fun,having fun,Male,25,Employed,Bachelor (or equivalent),USA,USA
13,NA,0,6,Other,PC,10,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
14,Somewhat difficult,26-50%,4,Other,"Console (PS, Xbox, ...)",25,I play for fun,relaxing,Male,19,Student at school,High school diploma (or equivalent),USA,USA
15,Not difficult at all,1-25%,2,Other,PC,30,I play for fun,having fun,Male,35,Employed,High school diploma (or equivalent),Canada,Canada
